red	flamingo	heart	cherry	fire truck	Mars
orange	avocado	sweet potato	orange	pumpkin	canteloupe
yellow	bluebird	lemon	egg yolk	canary	macaroni
green	skeleton	shamrock	celery	leprechaun	alligator
blue	paper bag	sky	blue jay	jeans	ocean
purple	bluebird	taro	lilac	plum	lavender
brown	taro	walnut	wood	pretzel	beaver
black	sweet potato	videotape	licorice	crow	black widow
white	night sky	rice	cloud	iceberg	swan
pink	turtle	pig	bubble gum	pink grapefruit	eraser
red	plum	cardinal	cherry	tomato	heart
orange	tongue	canteloupe	goldfish	monarch butterfly	carrot
yellow	pretzel	chick	taxi	corn kernel	daffodil
green	monarch butterfly	avocado	Statue of Liberty	frog	alligator
blue	beaver	jeans	sky	blueberry	bluebird
purple	turtle	grape	eggplant	amethyst	lavender
brown	rubber duck	walnut	beaver	grizzly bear	iced tea
black	rubber duck	tuxedo	licorice	black widow	videotape
white	licorice	swan	cloud	tooth	polar bear
pink	amethyst	eraser	cotton candy	bubble gum	pig
red	corn kernel	fire truck	cardinal	ladybug	stop sign
orange	turtle	pumpkin	carrot	canteloupe	orange
yellow	ruby	canary	corn kernel	lemon	omelet
green	goldfish	grass	alligator	emerald	leprechaun
blue	cork	blue whale	sky	bluebird	ocean
purple	flamingo	amethyst	eggplant	lavender	violet
brown	violet	soil	beaver	grizzly bear	paper bag
black	macaroni	top hat	coal	night sky	tuxedo
white	ocean	dove	polar bear	swan	tooth
pink	ocean	tongue	eraser	flamingo	pig
red	canteloupe	cherry	ruby	strawberry	heart
orange	iced tea	goldfish	monarch butterfly	basketball	orange
yellow	tomato	rubber duck	canary	lemon	chick
green	canteloupe	turtle	cactus	avocado	Statue of Liberty
blue	tongue	blueberry	sapphire	jeans	blue jay
purple	top hat	amethyst	plum	taro	lilac
brown	sapphire	teddy bear	beaver	iced tea	soil
black	orange	chalkboard	black widow	labrador	top hat
white	orange	snowman	cloud	rice	snowflake
pink	sapphire	eraser	bubble gum	pink grapefruit	pig
red	labrador	lips	lobster	cardinal	chile pepper
orange	tongue	sweet potato	carrot	orange	monarch butterfly
yellow	sweet potato	school bus	taxi	sun	canary
green	soil	turtle	emerald	frog	avocado
blue	cardinal	sky	blueberry	Uranus	cornflower
purple	night sky	eggplant	amethyst	grape	taro
brown	amethyst	iced tea	paper bag	wood	pretzel
black	snowman	black widow	videotape	top hat	crow
white	leprechaun	milk	rice	iceberg	cloud
pink	heart	flamingo	bubble gum	tongue	strawberry ice cream
red	Statue of Liberty	ladybug	lips	Mars	fire truck
orange	corn kernel	pumpkin	sweet potato	basketball	monarch butterfly
yellow	wood	taxi	rubber duck	daffodil	cheese
green	stop sign	turtle	frog	leprechaun	cactus
blue	avocado	blueberry	ocean	sapphire	blue jay
purple	pig	lilac	amethyst	lavender	grape
brown	licorice	soil	wood	teddy bear	iced tea
black	iced tea	labrador	licorice	black widow	coal
white	turtle	snowflake	iceberg	cloud	skeleton
pink	wood	cotton candy	pig	tongue	strawberry ice cream
red	teddy bear	heart	lips	stop sign	cardinal
orange	top hat	orange	carrot	basketball	canteloupe
yellow	bubble gum	school bus	cheese	chick	macaroni
green	pink grapefruit	avocado	turtle	Statue of Liberty	frog
blue	fire truck	blueberry	cornflower	blue whale	jeans
purple	tooth	lilac	amethyst	taro	violet
brown	eraser	walnut	peanut shell	grizzly bear	iced tea
black	monarch butterfly	black widow	tuxedo	labrador	licorice
white	lilac	cloud	paper towel	iceberg	rice
pink	blue whale	eraser	tongue	cotton candy	strawberry ice cream
red	goldfish	lips	ladybug	tomato	stop sign
orange	labrador	sweet potato	basketball	carrot	pumpkin
yellow	stop sign	chick	school bus	lemon	butter
green	sweet potato	alligator	Statue of Liberty	broccoli	avocado
blue	chile pepper	jeans	blueberry	Uranus	cornflower
purple	turtle	lavender	grape	lilac	amethyst
brown	orange	cork	soil	paper bag	peanut shell
black	avocado	night sky	videotape	tuxedo	top hat
white	beaver	cloud	rice	snowman	milk
pink	bluebird	tongue	eraser	pig	flamingo
red	sweet potato	heart	cardinal	tomato	strawberry
orange	videotape	carrot	orange	sweet potato	pumpkin
yellow	sweet potato	daffodil	egg yolk	chick	lemon
green	night sky	celery	frog	Statue of Liberty	turtle
blue	avocado	Uranus	sapphire	blueberry	ocean
purple	chalkboard	grape	eggplant	violet	plum
brown	top hat	walnut	wood	soil	teddy bear
black	macaroni	night sky	tuxedo	labrador	top hat
white	Uranus	polar bear	milk	skeleton	iceberg
pink	beaver	cotton candy	flamingo	eraser	bubble gum
red	pretzel	heart	chile pepper	cardinal	strawberry
orange	amethyst	canteloupe	sweet potato	orange	carrot
yellow	emerald	daffodil	school bus	corn kernel	macaroni
green	chalkboard	avocado	Statue of Liberty	celery	alligator
blue	grass	Uranus	blue whale	bluebird	blue jay
purple	tuxedo	amethyst	plum	violet	grape
brown	Statue of Liberty	walnut	iced tea	cork	peanut shell
black	grape	top hat	crow	black widow	licorice
white	wood	paper towel	snowflake	polar bear	tooth
pink	taxi	pink grapefruit	bubble gum	cotton candy	tongue
red	flamingo	Mars	cardinal	cherry	ruby
orange	chick	goldfish	monarch butterfly	canteloupe	carrot
yellow	eraser	lemon	canary	school bus	daffodil
green	black widow	grass	emerald	avocado	shamrock
blue	videotape	ocean	jeans	Uranus	blue jay
purple	teddy bear	taro	lavender	eggplant	lilac
brown	tuxedo	peanut shell	teddy bear	paper bag	walnut
black	flamingo	top hat	tuxedo	chalkboard	videotape
white	pig	dove	skeleton	paper towel	rice
pink	bluebird	bubble gum	strawberry ice cream	pig	cotton candy
red	celery	cherry	lips	ruby	cardinal
orange	macaroni	orange	sweet potato	carrot	pumpkin
yellow	bubble gum	lemon	sun	macaroni	daffodil
green	pretzel	grass	cactus	turtle	emerald
blue	sun	sky	cornflower	bluebird	Uranus
purple	blue jay	taro	lavender	plum	lilac
brown	orange	grizzly bear	soil	peanut shell	iced tea
black	peanut shell	coal	licorice	labrador	tuxedo
white	Uranus	cloud	dove	snowflake	polar bear
pink	sky	bubble gum	tongue	flamingo	eraser
red	lemon	lips	cherry	ruby	strawberry
orange	tomato	orange	basketball	monarch butterfly	carrot
yellow	skeleton	corn kernel	egg yolk	sun	omelet
green	pumpkin	grass	turtle	alligator	Statue of Liberty
blue	pig	blueberry	bluebird	cornflower	jeans
purple	canteloupe	eggplant	plum	lilac	lavender
brown	lemon	walnut	wood	paper bag	teddy bear
black	tomato	tuxedo	chalkboard	videotape	licorice
white	fire truck	polar bear	skeleton	paper towel	dove
pink	pumpkin	pig	strawberry ice cream	bubble gum	flamingo
red	strawberry ice cream	chile pepper	cherry	ladybug	Mars
orange	tuxedo	pumpkin	goldfish	sweet potato	carrot
yellow	pig	daffodil	macaroni	egg yolk	cheese
green	macaroni	celery	alligator	turtle	cactus
blue	monarch butterfly	Uranus	ocean	blueberry	blue whale
purple	top hat	amethyst	violet	lilac	grape
brown	pig	paper bag	soil	wood	teddy bear
black	cork	videotape	coal	crow	black widow
white	rubber duck	snowman	tooth	snowflake	skeleton
pink	omelet	tongue	bubble gum	flamingo	pink grapefruit
red	tongue	tomato	strawberry	heart	fire truck
orange	bluebird	sweet potato	goldfish	carrot	orange
yellow	Statue of Liberty	canary	daffodil	omelet	butter
green	daffodil	celery	frog	turtle	broccoli
blue	macaroni	sapphire	blue jay	cornflower	jeans
purple	blueberry	plum	amethyst	lavender	eggplant
brown	eraser	pretzel	iced tea	beaver	wood
black	tomato	tuxedo	labrador	licorice	black widow
white	butter	rice	polar bear	snowman	iceberg
pink	canteloupe	pink grapefruit	cotton candy	flamingo	tongue
red	wood	ruby	fire truck	stop sign	strawberry
orange	taro	sweet potato	basketball	carrot	monarch butterfly
yellow	walnut	canary	corn kernel	daffodil	cheese
green	wood	emerald	Statue of Liberty	turtle	frog
blue	black widow	sapphire	blueberry	blue whale	jeans
purple	eraser	amethyst	grape	plum	lilac
brown	coal	soil	beaver	pretzel	peanut shell
black	lobster	tuxedo	labrador	videotape	coal
white	plum	skeleton	paper towel	snowflake	cloud
pink	cork	strawberry ice cream	cotton candy	eraser	bubble gum
red	swan	tomato	lips	heart	lobster
orange	licorice	orange	basketball	sweet potato	carrot
yellow	walnut	lemon	sun	egg yolk	macaroni
green	chick	turtle	alligator	Statue of Liberty	avocado
blue	turtle	ocean	Uranus	sky	cornflower
purple	cornflower	eggplant	amethyst	plum	lavender
brown	leprechaun	walnut	peanut shell	iced tea	beaver
black	pretzel	night sky	licorice	top hat	tuxedo
white	alligator	cloud	tooth	snowman	rice
pink	Mars	cotton candy	flamingo	strawberry ice cream	pink grapefruit
red	daffodil	cardinal	cherry	Mars	stop sign
orange	egg yolk	basketball	carrot	monarch butterfly	canteloupe
yellow	iced tea	taxi	cheese	daffodil	school bus
green	orange	Statue of Liberty	leprechaun	emerald	alligator
blue	eggplant	jeans	cornflower	bluebird	blue jay
purple	butter	violet	amethyst	plum	eggplant
brown	plum	walnut	teddy bear	pretzel	paper bag
black	omelet	videotape	coal	top hat	tuxedo
white	tongue	snowflake	tooth	snowman	iceberg
pink	skeleton	pig	pink grapefruit	flamingo	cotton candy
red	lavender	cherry	strawberry	stop sign	ladybug
orange	beaver	canteloupe	goldfish	basketball	pumpkin
yellow	ladybug	taxi	butter	school bus	chick
green	snowflake	Statue of Liberty	grass	turtle	cactus
blue	fire truck	jeans	blue whale	blueberry	bluebird
purple	rubber duck	amethyst	lavender	lilac	plum
brown	lavender	pretzel	peanut shell	wood	paper bag
black	blueberry	chalkboard	coal	licorice	labrador
white	taro	skeleton	snowflake	iceberg	tooth
pink	stop sign	bubble gum	flamingo	pink grapefruit	tongue
red	taro	stop sign	strawberry	fire truck	heart
orange	violet	canteloupe	carrot	pumpkin	sweet potato
yellow	snowflake	rubber duck	school bus	macaroni	chick
green	wood	cactus	celery	leprechaun	shamrock
blue	cactus	Uranus	jeans	sapphire	blueberry
purple	skeleton	taro	plum	amethyst	eggplant
brown	labrador	wood	teddy bear	cork	soil
black	cheese	chalkboard	licorice	top hat	tuxedo
white	emerald	cloud	polar bear	rice	snowman
pink	Statue of Liberty	eraser	pink grapefruit	strawberry ice cream	pig
red	paper bag	heart	Mars	ruby	stop sign
orange	eraser	carrot	monarch butterfly	orange	basketball
yellow	sweet potato	macaroni	taxi	rubber duck	daffodil
green	flamingo	shamrock	cactus	avocado	grass
blue	strawberry ice cream	sapphire	blue whale	Uranus	bluebird
purple	chile pepper	violet	plum	grape	amethyst
brown	night sky	soil	cork	peanut shell	walnut
black	polar bear	crow	videotape	top hat	night sky
white	pink grapefruit	iceberg	snowman	skeleton	polar bear
pink	blueberry	eraser	tongue	bubble gum	flamingo
red	crow	lobster	tomato	heart	cherry
orange	paper towel	monarch butterfly	goldfish	sweet potato	orange
yellow	broccoli	daffodil	sun	omelet	taxi
green	videotape	frog	shamrock	Statue of Liberty	broccoli
blue	sweet potato	sky	blue whale	jeans	cornflower
purple	strawberry	eggplant	lavender	amethyst	lilac
brown	grass	walnut	pretzel	iced tea	wood
black	polar bear	crow	chalkboard	top hat	labrador
white	cotton candy	snowflake	polar bear	rice	snowman
pink	lemon	strawberry ice cream	pink grapefruit	flamingo	bubble gum
red	blueberry	tomato	strawberry	cherry	fire truck
orange	grape	pumpkin	carrot	sweet potato	goldfish
yellow	avocado	macaroni	corn kernel	butter	sun
green	sapphire	Statue of Liberty	avocado	grass	alligator
blue	heart	cornflower	ocean	sky	Uranus
purple	tuxedo	eggplant	lavender	amethyst	lilac
brown	Uranus	pretzel	teddy bear	peanut shell	paper bag
black	flamingo	black widow	night sky	coal	videotape
white	canteloupe	milk	swan	rice	iceberg
pink	night sky	pig	eraser	strawberry ice cream	cotton candy
red	carrot	cardinal	chile pepper	lobster	heart
orange	taro	orange	carrot	pumpkin	monarch butterfly
yellow	celery	macaroni	egg yolk	taxi	omelet
green	grape	emerald	celery	alligator	turtle
blue	corn kernel	blue jay	cornflower	blue whale	sky
purple	pig	grape	lilac	eggplant	amethyst
brown	skeleton	soil	beaver	iced tea	grizzly bear
black	monarch butterfly	labrador	chalkboard	night sky	crow
white	canteloupe	snowman	tooth	skeleton	snowflake
pink	lips	flamingo	cotton candy	pig	eraser
red	skeleton	lips	Mars	heart	stop sign
orange	cheese	monarch butterfly	sweet potato	canteloupe	goldfish
yellow	Statue of Liberty	lemon	chick	macaroni	cheese
green	butter	emerald	broccoli	avocado	leprechaun
blue	pumpkin	blueberry	ocean	blue whale	sapphire
purple	cork	lavender	amethyst	taro	lilac
brown	night sky	iced tea	pretzel	peanut shell	wood
black	peanut shell	black widow	night sky	tuxedo	licorice
white	cotton candy	polar bear	dove	skeleton	cloud
pink	school bus	cotton candy	tongue	pig	bubble gum
red	shamrock	Mars	cardinal	strawberry	cherry
orange	black widow	goldfish	canteloupe	basketball	carrot
yellow	night sky	rubber duck	corn kernel	cheese	canary
green	cloud	Statue of Liberty	shamrock	celery	cactus
blue	chick	sky	sapphire	blueberry	cornflower
purple	canteloupe	grape	amethyst	lavender	lilac
brown	stop sign	cork	beaver	peanut shell	walnut
black	lilac	chalkboard	videotape	crow	night sky
white	Mars	rice	skeleton	milk	cloud
pink	crow	bubble gum	pig	tongue	pink grapefruit
red	Statue of Liberty	cherry	ruby	chile pepper	ladybug
orange	crow	goldfish	canteloupe	carrot	basketball
yellow	blue whale	daffodil	lemon	chick	egg yolk
green	carrot	avocado	emerald	Statue of Liberty	cactus
blue	eggplant	blue whale	ocean	jeans	cornflower
purple	alligator	taro	lilac	grape	amethyst
brown	eggplant	peanut shell	walnut	wood	cork
black	strawberry ice cream	chalkboard	night sky	coal	crow
white	egg yolk	tooth	cloud	iceberg	milk
pink	lavender	flamingo	cotton candy	pink grapefruit	strawberry ice cream
red	macaroni	chile pepper	cherry	strawberry	lips
orange	sky	sweet potato	carrot	monarch butterfly	pumpkin
yellow	tuxedo	chick	omelet	rubber duck	macaroni
green	snowflake	emerald	frog	broccoli	Statue of Liberty
blue	bubble gum	jeans	cornflower	ocean	sky
purple	paper bag	eggplant	plum	amethyst	lilac
brown	pink grapefruit	iced tea	cork	peanut shell	grizzly bear
black	cornflower	black widow	night sky	crow	videotape
white	egg yolk	snowman	cloud	polar bear	iceberg
pink	swan	bubble gum	tongue	pink grapefruit	strawberry ice cream
red	cloud	stop sign	ruby	Mars	lobster
orange	lavender	monarch butterfly	carrot	goldfish	pumpkin
yellow	tongue	canary	taxi	macaroni	sun
green	jeans	emerald	turtle	broccoli	avocado
blue	goldfish	ocean	blueberry	blue whale	jeans
purple	emerald	taro	violet	grape	amethyst
brown	lavender	paper bag	peanut shell	beaver	soil
black	eggplant	night sky	top hat	licorice	labrador
white	cardinal	tooth	polar bear	rice	cloud
pink	corn kernel	cotton candy	pink grapefruit	pig	bubble gum
red	eraser	ruby	fire truck	ladybug	heart
orange	snowflake	basketball	carrot	pumpkin	sweet potato
yellow	shamrock	school bus	omelet	chick	macaroni
green	eraser	leprechaun	celery	frog	avocado
blue	butter	jeans	ocean	blue jay	sapphire
purple	ocean	eggplant	lilac	taro	violet
brown	tongue	grizzly bear	cork	iced tea	paper bag
black	soil	top hat	chalkboard	tuxedo	labrador
white	monarch butterfly	cloud	iceberg	milk	swan
pink	lilac	tongue	bubble gum	strawberry ice cream	cotton candy
red	broccoli	ladybug	heart	Mars	stop sign
orange	taxi	carrot	monarch butterfly	canteloupe	sweet potato
yellow	violet	omelet	sun	butter	rubber duck
green	milk	alligator	shamrock	emerald	leprechaun
blue	frog	bluebird	cornflower	sky	blue whale
purple	top hat	taro	grape	violet	lilac
brown	broccoli	iced tea	wood	pretzel	soil
black	walnut	videotape	licorice	top hat	crow
white	plum	polar bear	swan	snowman	rice
pink	blue jay	eraser	pig	tongue	bubble gum
red	violet	ladybug	cardinal	fire truck	cherry
orange	plum	pumpkin	sweet potato	orange	carrot
yellow	carrot	sun	cheese	canary	daffodil
green	flamingo	turtle	emerald	cactus	celery
blue	goldfish	blue jay	cornflower	blueberry	sapphire
purple	goldfish	lilac	plum	eggplant	grape
brown	chick	cork	teddy bear	soil	walnut
black	monarch butterfly	black widow	chalkboard	tuxedo	night sky
white	bluebird	swan	dove	snowman	snowflake
pink	jeans	bubble gum	strawberry ice cream	cotton candy	pink grapefruit
red	emerald	cardinal	chile pepper	lobster	fire truck
orange	cactus	sweet potato	orange	carrot	monarch butterfly
yellow	frog	egg yolk	sun	macaroni	corn kernel
green	eggplant	alligator	turtle	cactus	avocado
blue	licorice	cornflower	Uranus	ocean	sapphire
purple	blue jay	lilac	lavender	violet	amethyst
brown	lavender	beaver	cork	iced tea	soil
black	sapphire	crow	licorice	tuxedo	black widow
white	cork	swan	rice	iceberg	snowflake
pink	lilac	bubble gum	eraser	pink grapefruit	tongue
red	alligator	Mars	fire truck	tomato	chile pepper
orange	teddy bear	pumpkin	basketball	sweet potato	carrot
yellow	paper bag	school bus	macaroni	cheese	rubber duck
green	bluebird	leprechaun	turtle	alligator	grass
blue	snowman	ocean	blue whale	bluebird	cornflower
purple	chalkboard	lavender	amethyst	violet	lilac
brown	jeans	walnut	iced tea	paper bag	cork
black	eraser	labrador	night sky	black widow	coal
white	lilac	tooth	paper towel	skeleton	milk
pink	pretzel	bubble gum	eraser	strawberry ice cream	pink grapefruit
red	night sky	cherry	tomato	stop sign	ladybug
orange	broccoli	basketball	sweet potato	orange	monarch butterfly
yellow	goldfish	corn kernel	sun	macaroni	rubber duck
green	canteloupe	broccoli	avocado	shamrock	grass
blue	violet	jeans	blue jay	ocean	blue whale
purple	paper bag	violet	lilac	amethyst	grape
brown	basketball	pretzel	beaver	paper bag	soil
black	orange	tuxedo	top hat	black widow	chalkboard
white	eggplant	snowman	cloud	rice	paper towel
pink	stop sign	tongue	strawberry ice cream	eraser	pig
red	cotton candy	heart	chile pepper	strawberry	lips
orange	strawberry ice cream	monarch butterfly	goldfish	sweet potato	basketball
yellow	turtle	macaroni	butter	school bus	lemon
green	pig	broccoli	grass	Statue of Liberty	shamrock
blue	rice	jeans	blue jay	sky	cornflower
purple	canteloupe	amethyst	plum	lavender	lilac
brown	flamingo	iced tea	grizzly bear	soil	teddy bear
black	grass	crow	night sky	licorice	tuxedo
white	labrador	snowflake	milk	cloud	swan
pink	strawberry	eraser	tongue	cotton candy	bubble gum
red	lavender	cherry	fire truck	strawberry	chile pepper
orange	turtle	canteloupe	orange	carrot	basketball
yellow	licorice	butter	omelet	daffodil	corn kernel
green	chile pepper	grass	frog	emerald	Statue of Liberty
blue	plum	Uranus	cornflower	ocean	sky
purple	iced tea	amethyst	taro	grape	eggplant
brown	butter	beaver	walnut	pretzel	iced tea
black	plum	licorice	crow	coal	top hat
white	tomato	milk	rice	snowman	cloud
pink	polar bear	eraser	flamingo	pink grapefruit	bubble gum
red	labrador	ladybug	chile pepper	heart	stop sign
orange	strawberry	pumpkin	monarch butterfly	sweet potato	goldfish
yellow	pink grapefruit	taxi	lemon	sun	cheese
green	tuxedo	grass	alligator	shamrock	Statue of Liberty
blue	pig	blue jay	cornflower	Uranus	blueberry
purple	walnut	violet	grape	lavender	lilac
brown	grass	teddy bear	walnut	grizzly bear	wood
black	grizzly bear	night sky	crow	labrador	top hat
white	stop sign	iceberg	snowman	cloud	rice
pink	crow	pig	strawberry ice cream	eraser	cotton candy
red	violet	ruby	cherry	ladybug	Mars
orange	dove	orange	basketball	canteloupe	monarch butterfly
yellow	grizzly bear	daffodil	lemon	rubber duck	cheese
green	sky	emerald	avocado	shamrock	frog
blue	cardinal	blue jay	blue whale	cornflower	Uranus
purple	pig	amethyst	violet	lavender	lilac
brown	butter	beaver	pretzel	cork	iced tea
black	violet	licorice	chalkboard	black widow	labrador
white	pumpkin	swan	paper towel	tooth	cloud
pink	blue whale	eraser	bubble gum	pig	pink grapefruit
red	coal	cherry	fire truck	heart	cardinal
orange	tuxedo	carrot	goldfish	monarch butterfly	canteloupe
yellow	top hat	egg yolk	rubber duck	lemon	sun
green	pig	frog	leprechaun	alligator	shamrock
blue	plum	sky	blue whale	cornflower	bluebird
purple	snowflake	grape	violet	taro	eggplant
brown	strawberry	teddy bear	wood	soil	cork
black	tomato	top hat	black widow	night sky	chalkboard
white	soil	rice	iceberg	cloud	tooth
pink	skeleton	flamingo	tongue	strawberry ice cream	pig
red	monarch butterfly	fire truck	Mars	ruby	tomato
orange	snowflake	carrot	sweet potato	monarch butterfly	orange
yellow	licorice	cheese	chick	school bus	daffodil
green	cornflower	cactus	turtle	frog	Statue of Liberty
blue	amethyst	blue whale	sapphire	blueberry	Uranus
purple	blue jay	taro	amethyst	lavender	eggplant
brown	emerald	beaver	grizzly bear	paper bag	soil
black	beaver	night sky	crow	top hat	coal
white	peanut shell	swan	paper towel	snowflake	iceberg
pink	corn kernel	flamingo	strawberry ice cream	eraser	pink grapefruit
red	labrador	ladybug	lobster	lips	stop sign
orange	strawberry ice cream	pumpkin	orange	canteloupe	basketball
yellow	frog	egg yolk	taxi	cheese	canary
green	carrot	turtle	grass	celery	Statue of Liberty
blue	walnut	sky	jeans	blue jay	cornflower
purple	top hat	lilac	eggplant	plum	lavender
brown	heart	pretzel	wood	peanut shell	iced tea
black	cheese	videotape	tuxedo	crow	top hat
white	leprechaun	iceberg	dove	snowman	cloud
pink	eggplant	pink grapefruit	cotton candy	strawberry ice cream	eraser
red	omelet	Mars	cardinal	fire truck	cherry
orange	sun	orange	sweet potato	pumpkin	canteloupe
yellow	taro	rubber duck	chick	cheese	daffodil
green	crow	leprechaun	turtle	celery	cactus
blue	beaver	Uranus	sky	blueberry	sapphire
purple	corn kernel	lilac	violet	eggplant	amethyst
brown	polar bear	iced tea	soil	peanut shell	pretzel
black	beaver	licorice	coal	chalkboard	crow
white	coal	cloud	tooth	rice	snowflake
pink	turtle	cotton candy	tongue	eraser	strawberry ice cream
red	snowman	lips	heart	fire truck	Mars
orange	eraser	pumpkin	monarch butterfly	orange	canteloupe
yellow	basketball	corn kernel	lemon	chick	butter
green	flamingo	frog	alligator	broccoli	shamrock
blue	snowman	Uranus	bluebird	blue whale	cornflower
purple	stop sign	lavender	taro	grape	violet
brown	black widow	walnut	pretzel	wood	teddy bear
black	grape	coal	videotape	licorice	night sky
white	wood	dove	cloud	snowflake	paper towel
pink	carrot	eraser	cotton candy	pig	tongue
red	shamrock	ruby	ladybug	lobster	heart
orange	polar bear	canteloupe	basketball	monarch butterfly	pumpkin
yellow	frog	taxi	canary	corn kernel	rubber duck
green	grizzly bear	grass	leprechaun	celery	frog
blue	lilac	jeans	blue jay	cornflower	blueberry
purple	strawberry	grape	eggplant	amethyst	violet
brown	omelet	pretzel	iced tea	cork	paper bag
black	cotton candy	crow	black widow	chalkboard	tuxedo
white	eraser	rice	polar bear	tooth	skeleton
pink	tomato	eraser	pink grapefruit	cotton candy	tongue
red	milk	fire truck	lobster	ladybug	stop sign
orange	cotton candy	carrot	sweet potato	basketball	goldfish
yellow	cherry	school bus	corn kernel	omelet	cheese
green	plum	alligator	celery	grass	emerald
blue	soil	blue whale	cornflower	sapphire	jeans
purple	sky	plum	lilac	grape	lavender
brown	eggplant	cork	wood	peanut shell	pretzel
black	paper towel	top hat	black widow	chalkboard	crow
white	canary	skeleton	snowflake	dove	polar bear
pink	videotape	pink grapefruit	tongue	strawberry ice cream	bubble gum
red	iced tea	heart	fire truck	lips	ruby
orange	chile pepper	canteloupe	carrot	orange	basketball
yellow	violet	butter	corn kernel	egg yolk	school bus
green	monarch butterfly	cactus	avocado	celery	turtle
blue	corn kernel	Uranus	jeans	blueberry	cornflower
purple	canteloupe	eggplant	amethyst	plum	grape
brown	canteloupe	paper bag	soil	walnut	beaver
black	pig	top hat	licorice	labrador	night sky
white	top hat	rice	paper towel	dove	snowflake
pink	ladybug	pink grapefruit	cotton candy	bubble gum	eraser
red	cornflower	stop sign	lobster	chile pepper	cherry
orange	canary	sweet potato	basketball	carrot	goldfish
yellow	plum	corn kernel	taxi	sun	egg yolk
green	coal	grass	shamrock	emerald	avocado
blue	grizzly bear	blueberry	jeans	bluebird	blue whale
purple	snowman	amethyst	violet	lavender	grape
brown	blueberry	soil	grizzly bear	pretzel	peanut shell
black	cloud	videotape	tuxedo	top hat	coal
white	cherry	iceberg	snowman	rice	paper towel
pink	milk	strawberry ice cream	eraser	tongue	bubble gum
red	carrot	cherry	cardinal	Mars	chile pepper
orange	grape	canteloupe	monarch butterfly	carrot	basketball
yellow	alligator	canary	sun	daffodil	chick
green	sky	alligator	leprechaun	emerald	shamrock
blue	taxi	cornflower	sapphire	bluebird	blue whale
purple	pretzel	lilac	violet	amethyst	eggplant
brown	pink grapefruit	grizzly bear	pretzel	beaver	teddy bear
black	school bus	videotape	night sky	top hat	crow
white	tongue	tooth	dove	skeleton	iceberg
pink	paper bag	pig	pink grapefruit	flamingo	tongue
red	paper bag	strawberry	lips	tomato	heart
orange	rice	pumpkin	canteloupe	orange	carrot
yellow	Statue of Liberty	macaroni	canary	corn kernel	daffodil
green	sweet potato	alligator	leprechaun	frog	turtle
blue	ruby	blue whale	cornflower	bluebird	jeans
purple	snowflake	lavender	amethyst	grape	eggplant
brown	pig	pretzel	iced tea	soil	paper bag
black	paper towel	black widow	coal	licorice	crow
white	coal	tooth	iceberg	paper towel	cloud
pink	iced tea	tongue	bubble gum	strawberry ice cream	flamingo
